FID;FID_;Entity;Layer;Color;Linetype;Elevation;LineWt;RefName;Angle;IDTombe;Inventaire;Secteur;Coordonnee;Coordonn_1;Campagne;Datation;Anciennes_;POINT_X;POINT_Y
84;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;96,000000000000000;378,000000000000000;1,000000000000000;1088,000000000000000;-276,000000000000000;2010-2011;3,000000000000000;276,000000000000000;30,444012071600000;19,615243376799999
85;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;97,000000000000000;379,000000000000000;1,000000000000000;1090,000000000000000;-277,000000000000000;2010-2011;3,000000000000000;277,000000000000000;30,444003121900000;19,615260825899998
86;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;98,000000000000000;380,000000000000000;1,000000000000000;1091,000000000000000;-277,000000000000000;2010-2011;3,000000000000000;277,000000000000000;30,444003031899999;19,615269595499999
87;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;99,000000000000000;390,000000000000000;1,000000000000000;1088,000000000000000;-282,000000000000000;2010-2011;3,000000000000000;282,000000000000000;30,443959454100000;19,615242836499998
88;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;100,000000000000000;391,000000000000000;1,000000000000000;1086,000000000000000;-281,000000000000000;2010-2011;3,000000000000000;281,000000000000000;30,443968403800000;19,615225387399999
89;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;101,000000000000000;392,000000000000000;1,000000000000000;1091,000000000000000;-283,000000000000000;2010-2011;3,000000000000000;283,000000000000000;30,443950414400000;19,615269055300001
90;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;102,000000000000000;393,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;2010-2011;0,000000000000000;0,000000000000000;30,446530440699998;19,605726920900000
91;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;103,000000000000000;640,000000000000000;1,000000000000000;1082,000000000000000;-274,000000000000000;2011-2012;3,000000000000000;274,000000000000000;30,444030151000000;19,615190939400001
92;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;104,000000000000000;395,000000000000000;1,000000000000000;1090,000000000000000;-284,000000000000000;2010-2011;3,000000000000000;284,000000000000000;30,443941734900001;19,615260195600001
93;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;105,000000000000000;396,000000000000000;1,000000000000000;1088,000000000000000;-283,000000000000000;2010-2011;3,000000000000000;283,000000000000000;30,443950684499999;19,615242746500002
94;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;106,000000000000000;397,000000000000000;1,000000000000000;1086,000000000000000;-284,000000000000000;2010-2011;3,000000000000000;284,000000000000000;30,443942095000001;19,615225117300000
95;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;107,000000000000000;398,000000000000000;1,000000000000000;1084,000000000000000;-284,000000000000000;2010-2011;3,000000000000000;284,000000000000000;30,443942275100000;19,615207578100001
96;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;108,000000000000000;399,000000000000000;1,000000000000000;1090,000000000000000;-287,000000000000000;2010-2011;3,000000000000000;287,000000000000000;30,443915426099998;19,615259925499998
97;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;109,000000000000000;400,000000000000000;1,000000000000000;1087,000000000000000;-286,000000000000000;2010-2011;3,000000000000000;286,000000000000000;30,443924465799999;19,615233706800002
98;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;110,000000000000000;401,000000000000000;1,000000000000000;1084,000000000000000;-287,000000000000000;2010-2011;3,000000000000000;287,000000000000000;30,443915966300001;19,615207307999999
99;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;111,000000000000000;402,000000000000000;1,000000000000000;1091,000000000000000;-290,000000000000000;2010-2011;3,000000000000000;290,000000000000000;30,443889027299999;19,615268425000000
100;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;112,000000000000000;403,000000000000000;1,000000000000000;1090,000000000000000;-289,000000000000000;2010-2011;3,000000000000000;289,000000000000000;30,443897886900000;19,615259745400000
101;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;113,000000000000000;404,000000000000000;1,000000000000000;1087,000000000000000;-289,000000000000000;2010-2011;3,000000000000000;289,000000000000000;30,443898157100001;19,615233436699999
102;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;114,000000000000000;405,000000000000000;1,000000000000000;1082,000000000000000;-266,000000000000000;2010-2011;3,000000000000000;266,000000000000000;30,444100307700001;19,615191659699999
103;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;115,000000000000000;406,000000000000000;1,000000000000000;1082,000000000000000;-268,000000000000000;2010-2011;3,000000000000000;268,000000000000000;30,444082768500000;19,615191479600000
104;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;116,000000000000000;407,000000000000000;1,000000000000000;1075,000000000000000;-256,000000000000000;2010-2011;3,000000000000000;256,000000000000000;30,444188633800000;19,615131173000002
105;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;117,000000000000000;408,000000000000000;1,000000000000000;1074,000000000000000;-256,000000000000000;2010-2011;3,000000000000000;256,000000000000000;30,444188723800000;19,615122403400001
106;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;118,000000000000000;409,000000000000000;1,000000000000000;1073,000000000000000;-255,000000000000000;2010-2011;3,000000000000000;255,000000000000000;30,444197583499999;19,615113723899999
107;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;119,000000000000000;410,000000000000000;1,000000000000000;1063,000000000000000;-257,000000000000000;2010-2011;3,000000000000000;257,000000000000000;30,444180944700001;19,615025847999998
